ClienteID,Nome,Endereço_de_Entrega,Telefone,Email
1,Luiz Fernando Silva,"Rodovia Cardoso
São João Batista
00562157 da Cruz da Prata / SP",+55 21 2187 3762,snunes@silveira.br
2,Dr. Erick da Mota,"Rua Evelyn Nunes, 9
Nossa Senhora Da Conceição
58338593 Campos de Minas / PB",+55 11 8655 0130,da-rosaana-livia@gmail.com
3,Srta. Maria Luiza Ramos,"Condomínio de Alves, 88
Parque São José
33465-684 Cavalcanti / TO",+55 71 0491-2372,salescaue@yahoo.com.br
4,Luigi Pinto,"Distrito Almeida, 8
Olhos D'água
53649662 da Rosa / MS",(021) 4706-7829,ana-liviasales@moura.com
5,Dr. Pedro Miguel Pereira,"Jardim de Viana, 851
Santa Rita
66134104 da Rocha / RN",+55 (071) 6668-1878,noah38@gmail.com
6,Fernanda Almeida,"Largo Erick Melo
Calafate
25912-200 Aragão Alegre / AL",+55 11 1308 6511,stephanyoliveira@yahoo.com.br
7,Thales Azevedo,"Área da Cruz, 94
Das Industrias I
21599-266 da Conceição das Pedras / ES",(011) 4330 5321,bryan79@moraes.net
8,Dr. Ian Alves,"Trecho de Viana, 32
Monsenhor Messias
51934784 da Mota de Lopes / PA",+55 (031) 2435-2172,emendes@hotmail.com
9,Gabrielly Freitas,"Aeroporto Marcela Dias, 32
Boa Viagem
67367-254 Pereira / RR",+55 41 4392-0517,raul00@campos.net
10,Lorenzo da Mata,"Travessa Milena Oliveira, 82
Pongelupe
12814722 da Rocha / RR",+55 (071) 6020-5467,murilo39@bol.com.br
11,Enzo Gomes,"Sítio de Nogueira
Conjunto Jardim Filadélfia
14167-325 Teixeira do Campo / PR",+55 (021) 5180 5906,crodrigues@barbosa.br
12,Gabriela Monteiro,"Viela Fogaça, 11
Vila Santa Rosa
72711-197 Moraes / AL",0300-619-2621,fpires@ig.com.br
13,Enzo Gabriel Silveira,"Viaduto Sales, 8
Novo Ouro Preto
92049-888 Barros / AM",(061) 4604-4192,qfernandes@bol.com.br
14,Cauã Campos,"Avenida de Moura, 888
Castelo
58021580 Rezende do Sul / MT",(061) 4078 5300,manuelaazevedo@bol.com.br
15,Amanda Rodrigues,"Estrada de Souza, 64
Granja De Freitas
20133-028 Rocha / AP",+55 (051) 1245 4459,lucca21@ig.com.br
16,Carlos Eduardo Costa,"Avenida de Cavalcanti, 24
Nova Pampulha
79947-400 da Rosa do Galho / TO",71 2822-8185,carolinapires@monteiro.br
17,Enzo Gabriel da Cruz,"Favela de Jesus, 59
São Damião
52278806 da Cruz de Minas / GO",+55 (061) 0903 3993,castrojulia@jesus.org
18,Alice Aragão,"Jardim de Almeida
Vila Pinho
62142-677 da Mota dos Dourados / AP",+55 51 8437 3211,joao-guilherme82@farias.net
19,Sr. Enzo Martins,"Vila Agatha Moura, 2
São Paulo
72149-894 Fernandes de da Costa / PA",21 3688-6258,giovanna98@da.com
20,João Felipe Cavalcanti,"Rua Costa, 27
Santa Lúcia
13183-387 Carvalho / SC",+55 (041) 4359-0024,ramoskaique@fernandes.com
21,Henrique Campos,"Praia Marina Cavalcanti
Alto Das Antenas
16441216 da Conceição / TO",(061) 9659 4421,marcelacarvalho@oliveira.com
22,Dr. João Nascimento,"Esplanada Ana Júlia Farias, 58
Vila Independencia 3ª Seção
61430918 Gomes / RS",0900-937-4131,vianamaria-clara@silveira.br
23,Vicente da Luz,"Sítio de Moreira, 612
Vila Formosa
92821-718 Fernandes de Gomes / AP",+55 (084) 9483-7426,ferreiraluna@hotmail.com
24,Sr. Daniel Fogaça,"Campo Lorena Ferreira
Estrela Do Oriente
52866799 Fogaça de Silva / MA",+55 61 5737-6051,ryan45@gmail.com
25,Isis Araújo,"Viaduto Rocha, 67
Camargos
87688-698 Freitas / SE",+55 (011) 1168 3213,maria-sophiada-cunha@gmail.com
26,Dr. Renan da Rosa,"Vale de Lima, 11
Nossa Senhora Da Aparecida
90420568 Cardoso de Peixoto / CE",+55 11 7165-2970,ana-carolina29@gmail.com
27,Srta. Maria Sophia Moraes,"Viela Catarina Rodrigues, 41
Gutierrez
13575588 Pinto de Peixoto / PB",41 5443-0398,thalesda-rosa@yahoo.com.br
28,Thiago Rezende,"Pátio Kamilly Pires, 680
Monte Azul
42644284 Moreira das Pedras / DF",+55 (031) 5141 9089,otavio39@rezende.br
29,Alice Viana,"Vila Ana Luiza Mendes, 79
Independência
50547-638 Teixeira / MA",+55 (061) 4184-0912,marinaaragao@yahoo.com.br
30,Luiz Felipe Ramos,"Trevo da Mota, 28
Lourdes
49521248 da Rocha de Gonçalves / MS",+55 71 1184-1881,isabellydias@uol.com.br
31,Gustavo Cavalcanti,"Loteamento de Alves, 84
Vila Inestan
35072423 da Cunha / RN",+55 21 5840-1837,maria-sophiapires@gmail.com
32,Rafael da Cunha,"Morro Azevedo, 766
Vila Batik
09849-679 da Cunha Verde / RR",84 9373-5722,joana63@uol.com.br
33,Enrico Lopes,"Avenida Vitória Costela, 254
Prado
27096-845 Ramos / PE",+55 (071) 1416-0234,igor84@cunha.br
34,Emanuelly Teixeira,"Feira de da Paz, 145
Esperança
29515659 da Costa de Alves / AM",+55 41 4753 1098,luiz-henrique29@uol.com.br
35,Sr. Davi Luiz Silva,"Área Igor Aragão, 80
São Tomaz
19191-355 Moraes / RN",71 0602-9099,luiz-otavio96@hotmail.com
36,Srta. Ana Luiza Dias,"Vale de Oliveira, 758
Conjunto Floramar
95693-418 Costa de Silva / PB",(084) 3896 2617,laispeixoto@santos.com
37,Gabrielly Fogaça,"Viaduto de Santos, 309
São Cristóvão
50545437 Nascimento da Serra / AM",+55 (084) 2433-4967,juliamoraes@gomes.br
38,Benjamin Moraes,"Avenida Davi Lucca Jesus
Jaraguá
78360273 Correia / PR",+55 51 5176 9757,diegolima@pereira.br
39,Breno Ramos,"Campo Noah Cardoso, 79
Esperança
82537-957 Cavalcanti das Pedras / GO",(051) 5308 2103,daniela42@hotmail.com
40,Nicole Campos,"Estação Ana Laura Fogaça, 15
Frei Leopoldo
37503205 Santos das Pedras / SC",(061) 1614 7302,leticia46@hotmail.com
41,Laura Almeida,"Colônia de da Conceição, 74
Betânia
73814501 Sales de Fernandes / AM",0500 832 0147,ana-juliagomes@uol.com.br
42,Ana Sophia Fernandes,"Rua Cunha, 61
Esperança
76603984 Cardoso de Minas / PE",0300-431-5900,monteiroleonardo@yahoo.com.br
43,Enrico Araújo,"Sítio Ana Laura Nogueira, 98
Lindéia
92473-634 da Cruz / BA",+55 61 0854-1196,maria-eduardanascimento@novaes.com
44,Sofia Fernandes,"Alameda de Cardoso, 29
Paquetá
70575853 Ramos / MS",0300-116-7420,lopesguilherme@yahoo.com.br
45,Vitória Aragão,"Alameda da Rocha
Gutierrez
83792066 Pereira / ES",61 3576 6816,luiz-miguel34@uol.com.br
46,Alexandre Alves,"Aeroporto de Cardoso, 6
Vila Pinho
36694-016 Almeida / PA",+55 (061) 6539 1479,pedro-miguel20@hotmail.com
47,Pietro Nunes,"Alameda Maitê Rezende, 9
Conjunto Celso Machado
39800087 Ribeiro da Prata / RS",+55 (011) 9837-9423,vitor-hugo52@yahoo.com.br
48,Cauã da Cunha,"Vila de da Conceição, 56
Cruzeiro
68893939 Monteiro do Galho / SC",+55 31 3328-2357,da-costalorenzo@nascimento.br
49,Theo da Cruz,"Estação Lucas Gabriel Silva, 59
Suzana
16766-132 Teixeira / PI",11 2356-5781,portolorena@ramos.org
50,Olivia Pereira,"Vila de da Cunha, 46
Vila Vista Alegre
77206-402 Dias das Pedras / MA",+55 (084) 1653 1794,yagocunha@gmail.com
51,João Guilherme Fernandes,"Setor de Lopes, 67
Buritis
98954224 Moreira Verde / PE",11 0013 5951,gmoraes@yahoo.com.br
52,Sr. Fernando Dias,"Chácara Pedro da Conceição, 11
Vila Real 2ª Seção
18542-951 Farias / TO",+55 (061) 9533-7010,valentinada-costa@bol.com.br
53,Srta. Isabel da Mata,"Favela de Araújo, 96
Santa Efigênia
13683-853 Viana do Norte / GO",+55 (081) 4845 3807,monteiroaugusto@barros.org
54,Sra. Maria Sophia Silva,"Parque Luiz Otávio Peixoto, 648
Glória
93223-105 da Paz / MA",(011) 1450-3231,luccalima@oliveira.org
55,Larissa Viana,"Jardim Gabriel Nascimento, 79
Novo Tupi
62501396 Fernandes / PB",+55 41 9238 9914,almeidasophie@silva.com
56,Juliana Pereira,"Sítio Elisa Ramos, 6
Alípio De Melo
61522354 Porto do Galho / TO",+55 51 5332 4896,umoura@da.com
57,Ana Lívia Alves,"Alameda Ferreira, 82
Vila Inestan
66654-551 Melo / SE",71 3033 8403,maria-eduardaoliveira@uol.com.br
58,Matheus Castro,"Colônia de Campos, 18
Ambrosina
31178325 da Rosa do Norte / RS",21 7813 0314,kjesus@hotmail.com
59,Gabrielly Rodrigues,"Lagoa Almeida, 3
Saudade
56879249 da Costa / CE",0800-559-9189,da-pazvalentina@hotmail.com
60,João Pedro Barbosa,"Viaduto Monteiro, 76
Nossa Senhora De Fátima
63463-627 Monteiro / MT",(031) 7890-6854,davi-lucas48@yahoo.com.br
